Code,Name,Group,MainGroupCode,MainGroupDescriptionSe,MainGroupDescriptionEn,GroupCode,GroupCodeDescriptionSe,GroupCodeDescriptionEn,CountyCode,CountyName,HealthcareRegionName,Ald0_5,Ald6_9,Ald10_15,Ald16_19,Ald20_24,Ald25_29,Ald30_34,Ald35_39,Ald40_44,Ald45_49,Ald50_54,Ald55_59,Ald60_64,Ald65_69,Ald70_74,Ald75_79,Ald80_w,Pop_sum,lat,long,Age_gp1,Age_gp2,Age_gp3
1440,Ale,A2,A,Storstäder och storstadsnära kommuner,Large cities and municipalities near large cities,2,Pendlingskommun nära storstad,Commuting municipality near large city,14,Västra Götalands län,Västra Götalandsregionen,2485,1761,2394,1479,1657,1969,1988,2051,2245,2175,2125,1701,1431,1448,1637,1156,1208,30910,12.23068567,57.96704536,0.777418311,0.183500485,0.039081203
1489,Alingsås,A2,A,Storstäder och storstadsnära kommuner,Large cities and municipalities near large cities,2,Pendlingskommun nära storstad,Commuting municipality near large city,14,Västra Götalands län,Västra Götalandsregionen,2901,2119,3065,1777,2187,2569,2459,2393,2549,2646,2603,2299,2389,2385,2540,1806,2345,41032,12.53529027,57.98712509,0.720583934,0.222265549,0.057150517
764,Alvesta,B4,B,Större städer och kommuner nära större stad,Medium-sized towns and municipalities near medium-sized towns,4,Pendlingskommun nära större stad,Commuting municipality near medium-sized town,07,Kronobergs län,Region Kronoberg,1609,1056,1551,959,936,1153,1215,1149,1270,1118,1276,1167,1187,1278,1144,824,1233,20125,14.49531663,56.8495558,0.718459627,0.220273292,0.061267081
604,Aneby,B4,B,Större städer och kommuner nära större stad,Medium-sized towns and municipalities near medium-sized towns,4,Pendlingskommun nära större stad,Commuting municipality near medium-sized town,06,Jönköpings län,Region Jönköpings län,528,344,447,310,327,455,406,351,361,361,476,446,514,429,399,294,382,6830,14.79579975,57.86510217,0.704538799,0.239531479,0.055929722
1984,Arboga,C7,C,Mindre städer/tätorter och landsbygdskommuner,Smaller towns/urban areas and rural municipalities,7,Pendlingskommun nära mindre stad/tätort,Commuting municipality near small town,19,Västmanlands län,Region Västmanland,913,589,903,686,770,887,747,718,734,823,1000,939,821,877,1026,769,913,14115,15.78516339,59.3547078,0.687849805,0.247467233,0.064682961
2506,Arjeplog,C9,C,Mindre städer/tätorter och landsbygdskommuner,Smaller towns/urban areas and rural municipalities,9,Landsbygdskommun med besöksnäring,Rural municipality with visitor industry,25,Norrbottens län,Region Norrbotten,145,116,148,111,125,139,173,142,130,163,213,186,218,178,220,162,224,2793,17.23901773,66.36450034,0.641245972,0.278553527,0.080200501
2505,Arvidsjaur,C8,C,Mindre städer/tätorter och landsbygdskommuner,Smaller towns/urban areas and rural municipalities,8,Landsbygdskommun,Rural municipality,25,Norrbottens län,Region Norrbotten,391,248,384,260,300,433,344,323,329,334,409,427,440,422,441,358,489,6332,19.25888359,65.68397217,0.660454833,0.262318383,0.077226785
1784,Arvika,C8,C,Mindre städer/tätorter och landsbygdskommuner,Smaller towns/urban areas and rural municipalities,8,Landsbygdskommun,Rural municipality,17,Värmlands län,Region Värmland,1731,1117,1611,1098,1323,1545,1454,1385,1393,1589,1822,1597,1679,1787,1782,1258,1901,26072,12.6298748,59.68609018,0.677546793,0.249539736,0.07291347
1882,Askersund,B5,B,Större städer och kommuner nära större stad,Medium-sized towns and municipalities near medium-sized towns,5,Lågpendlingskommun nära större stad,Low commuting rate municipalities near medium-sized town,18,Örebro län,Region Örebro län,651,476,719,466,519,595,537,554,579,609,791,817,802,887,916,660,727,11305,14.95311936,58.85310662,0.646881911,0.288810261,0.064307828
2084,Avesta,C6,C,Mindre städer/tätorter och landsbygdskommuner,Smaller towns/urban areas and rural municipalities,6,Mindre stad/tätort,Small town,20,Dalarnas län,Region Dalarna,1610,1067,1493,931,1178,1499,1360,1237,1284,1398,1548,1426,1549,1520,1542,1156,1498,23296,16.36480042,60.21369149,0.688143887,0.247553228,0.064302885
1460,Bengtsfors,C8,C,Mindre städer/tätorter och landsbygdskommuner,Smaller towns/urban areas and rural municipalities,8,Landsbygdskommun,Rural municipality,14,Västra Götalands län,Västra Götalandsregionen,535,417,653,365,502,558,470,440,485,564,707,651,638,796,770,490,797,9838,12.20276317,59.03446276,0.645151454,0.273836146,0.081012401
2326,Berg,B5,B,Större städer och kommuner nära större stad,Medium-sized towns and municipalities near medium-sized towns,5,Lågpendlingskommun nära större stad,Low commuting rate municipalities near medium-sized town,23,Jämtlands län,Region Jämtland Härjedalen,455,277,490,292,307,385,395,308,336,343,492,470,529,532,568,384,532,7095,13.78375629,62.769059,0.641296688,0.28372093,0.074982382
2403,Bjurholm,B4,B,Större städer och kommuner nära större stad,Medium-sized towns and municipalities near medium-sized towns,4,Pendlingskommun nära större stad,Commuting municipality near medium-sized town,24,Västerbottens län,Region Västerbotten,134,114,164,114,127,137,134,93,116,127,157,150,153,171,176,137,245,2449,18.99187079,63.94649597,0.639853001,0.260106166,0.100040833
1260,Bjuv,B4,B,Större städer och kommuner nära större stad,Medium-sized towns and municipalities near medium-sized towns,4,Pendlingskommun nära större stad,Commuting municipality near medium-sized town,12,Skåne län,Region Skåne,1140,831,1242,765,839,921,870,907,1031,1086,1146,982,861,775,852,592,645,15485,12.96667097,56.0535722,0.759444624,0.198902163,0.041653213
2582,Boden,B5,B,Större städer och kommuner nära större stad,Medium-sized towns and municipalities near medium-sized towns,5,Lågpendlingskommun nära större stad,Low commuting rate municipalities near medium-sized town,25,Norrbottens län,Region Norrbotten,1690,1137,1728,1261,1559,1874,1596,1487,1557,1717,1914,1727,1868,1883,1968,1314,1763,28043,21.34193459,66.06131534,0.686338837,0.250793424,0.062867739
1443,Bollebygd,A2,A,Storstäder och storstadsnära kommuner,Large cities and municipalities near large cities,2,Pendlingskommun nära storstad,Commuting municipality near large city,14,Västra Götalands län,Västra Götalandsregionen,691,546,758,418,399,469,539,613,617,680,641,570,531,555,567,381,444,9419,12.61943327,57.73824037,0.736914747,0.215946491,0.047138762
2183,Bollnäs,C8,C,Mindre städer/tätorter och landsbygdskommuner,Smaller towns/urban areas and rural municipalities,8,Landsbygdskommun,Rural municipality,21,Gävleborgs län,Region Gävleborg,1795,1234,1771,1132,1372,1658,1482,1421,1444,1571,1818,1680,1741,1783,1959,1337,1775,26973,16.37797212,61.3125813,0.681348015,0.252845438,0.065806547
885,Borgholm,C9,C,Mindre städer/tätorter och landsbygdskommuner,Smaller towns/urban areas and rural municipalities,9,Landsbygdskommun med besöksnäring,Rural municipality with visitor industry,08,Kalmar län,Region Kalmar län,498,371,616,438,401,452,461,465,497,580,695,774,866,967,1078,782,923,10864,17.04319421,57.06091601,0.575110457,0.339930044,0.084959499
2081,Borlänge,B3,B,Större städer och kommuner nära större stad,Medium-sized towns and municipalities near medium-sized towns,3,Större stad,Medium-sized town,20,Dalarnas län,Region Dalarna,3933,2591,3947,2498,3239,3833,3398,2996,2922,3101,3476,2929,2958,2736,2823,2062,2697,52139,15.36001881,60.45024288,0.745372945,0.202899941,0.051727114
1490,Borås,B3,B,Större städer och kommuner nära större stad,Medium-sized towns and municipalities near medium-sized towns,3,Större stad,Medium-sized town,14,Västra Götalands län,Västra Götalandsregionen,8172,5566,7829,5049,7212,8657,7617,6889,6771,6908,7559,6419,5885,5591,5669,4289,5964,112046,12.94110732,57.73230334,0.75547543,0.191296432,0.053228138
127,Botkyrka,A2,A,Storstäder och storstadsnära kommuner,Large cities and municipalities near large cities,2,Pendlingskommun nära storstad,Commuting municipality near large city,01,Stockholms län,Region Stockholm,7599,5238,7351,4575,6071,6694,6485,6861,6848,6509,6289,5130,4422,3665,3750,2600,2757,92844,17.820371,59.15931265,0.814807634,0.155497393,0.029694972
560,Boxholm,C7,C,Mindre städer/tätorter och landsbygdskommuner,Smaller towns/urban areas and rural municipalities,7,Pendlingskommun nära mindre stad/tätort,Commuting municipality near small town,05,Östergötlands län,Region Östergötland,367,237,315,253,270,299,299,247,272,345,407,350,375,387,411,279,336,5449,15.12191198,58.14236136,0.671866398,0.266470912,0.06166269
1272,Bromölla,C7,C,Mindre städer/tätorter och landsbygdskommuner,Smaller towns/urban areas and rural municipalities,7,Pendlingskommun nära mindre stad/tätort,Commuting municipality near small town,12,Skåne län,Region Skåne,855,633,990,593,584,653,718,716,750,841,911,755,744,874,840,637,772,12866,14.49587794,56.12515625,0.699440386,0.240556506,0.060003109
2305,Bräcke,B5,B,Större städer och kommuner nära större stad,Medium-sized towns and municipalities near medium-sized towns,5,Lågpendlingskommun nära större stad,Low commuting rate municipalities near medium-sized town,23,Jämtlands län,Region Jämtland Härjedalen,374,249,398,304,280,303,295,242,289,430,507,445,483,464,527,352,431,6373,15.59610091,62.85680819,0.645849678,0.286521262,0.06762906
1231,Burlöv,A2,A,Storstäder och storstadsnära kommuner,Large cities and municipalities near large cities,2,Pendlingskommun nära storstad,Commuting municipality near large city,12,Skåne län,Region Skåne,1512,1035,1408,880,973,1080,1170,1348,1253,1196,1202,1067,952,888,853,703,808,18328,13.09439944,55.63352494,0.770624182,0.185290266,0.044085552
1278,Båstad,C9,C,Mindre städer/tätorter och landsbygdskommuner,Smaller towns/urban areas and rural municipalities,9,Landsbygdskommun med besöksnäring,Rural municipality with visitor industry,12,Skåne län,Region Skåne,790,621,929,590,621,696,631,710,836,854,1044,999,1040,1156,1281,933,1204,14935,12.59715476,56.44985807,0.624104453,0.295279545,0.080616003
1438,Dals-Ed,C8,C,Mindre städer/tätorter och landsbygdskommuner,Smaller towns/urban areas and rural municipalities,8,Landsbygdskommun,Rural municipality,14,Västra Götalands län,Västra Götalandsregionen,291,206,319,202,260,312,253,235,262,265,323,271,288,343,355,269,340,4794,11.8857356,58.9643716,0.667292449,0.261785565,0.070921986
162,Danderyd,A2,A,Storstäder och storstadsnära kommuner,Large cities and municipalities near large cities,2,Pendlingskommun nära storstad,Commuting municipality near large city,01,Stockholms län,Region Stockholm,2019,1938,3385,1946,1820,1698,1339,1596,2205,2604,2522,1956,1598,1385,1728,1380,2038,33157,18.05477142,59.40617295,0.754833067,0.183701782,0.061465151
